"","AN_TR1_4","AN_TR1_5","AN_TR1_6","AN_TR1_8","AN_TR2_4","AN_TR2_5","AN_TR2_6","AN_TR2_8","AN_TR3_4","AN_TR3_5","AN_TR3_6","AN_TR3_8","BB_TR1_4","BB_TR1_5","BB_TR1_6","BB_TR1_8","BB_TR2_4","BB_TR2_5","BB_TR2_6","BB_TR2_8","BB_TR3_4","BB_TR3_5","BB_TR3_6","BB_TR3_8","ML_TR1_4","ML_TR1_5","ML_TR1_6","ML_TR1_8","ML_TR2_4","ML_TR2_5","ML_TR2_6","ML_TR2_8","ML_TR3_4","ML_TR3_5","ML_TR3_6","ML_TR3_8"
"BB_TR3_6_S179_L004_1156",0,0,0,0,0,0,0,0,0,0,0,0,9.23277204912871,4.83274268607433,4.30017406108926,7.65794611069319,3.43550905433827,5.56867084331139,4.6399964986309,2.84324227026692,5.7907612112852,2.85120800332696,5.75598224176402,5.26086790869139,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1256",0,0,0,0,0,0,0,0,0,0,0,0,9.17949676320639,7.47999606353735,8.53277474541044,10.3371966434805,5.76705078060056,9.1596481277624,11.1967174672896,7.56141276097469,6.26803373213031,5.17973376883186,8.54351213371886,6.63681272105784,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1301",0,0,0,0,0,0,0,0,0,0,0,0,7.3172092461784,6.02021350656644,7.43778124382459,5.44671787000007,3.54740503928904,5.18861927339114,7.39468072725724,4.97681828226128,4.1885957642268,3.9969907912978,4.50818701725337,5.43331958780137,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1314",0,0,0,0,0,0,0,0,0,0,0,0,5.91483595569393,10.3804398218423,9.90076966648382,4.51454834281772,3.60461579652363,11.5705116278233,15.9862779282089,15.1976211694384,9.16823030843218,9.67602945297586,8.21863068441414,6.3968964033119,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1336",0,0,0,0,0,0,0,0,0,0,0,0,8.11234978829994,6.34014909331672,8.63716565782816,7.35086432815303,3.69513512041729,8.71922583893563,8.84423762311053,8.68301180061619,4.96133883112925,5.36573385881696,8.00646028897459,7.42395281184571,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_136",0,0,0,0,0,0,0,0,0,0,0,0,9.56774945557361,6.49037784812895,7.77791575634719,9.02650776973295,7.02707410314426,5.17152952110109,3.56167052025565,2.93305792165879,2.93248751887366,2.10319091089349,6.33993916270774,5.65965185207064,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1396",0,0,0,0,0,0,0,0,0,0,0,0,13.5407327674671,12.3930723582345,12.120043781949,9.08654234138803,9.8622275333016,10.3289960463745,14.2590171355435,11.8129599982125,9.63335442196223,7.87738169020191,9.80005868740386,7.89776771652151,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1408",0,0,0,0,0,0,0,0,0,0,0,0,8.62742010221247,5.80549261667669,7.24057857201528,8.35329814976254,6.26141129456681,6.18091197757624,6.92878751639941,4.28566032557864,4.79586442017536,3.68811091837463,5.78004928152205,5.46422084805176,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1469",0,0,0,0,0,0,0,0,0,0,0,0,8.49534210818929,5.55714236211376,5.10405886280487,8.09533210586057,1.71982756945855,3.3885075105195,5.08782015587334,3.03581564424914,5.19620661184336,2.45145429338561,6.64396146255868,5.09617312866501,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1521",0,0,0,0,0,0,0,0,0,0,0,0,5.16075150086089,4.48041188733186,4.43846360061658,2.87804089778582,2.25265496741283,2.48748240000497,4.55895027879141,3.29371675294119,3.89650178088209,2.48698686958614,3.40479943674332,3.72537309986754,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1600",0,0,0,0,0,0,0,0,0,0,0,0,8.95117483235366,9.84356573446658,11.5611771352757,8.6030566530246,9.05782186153499,7.54836766521956,11.606773950928,8.52417277687699,9.19774031240413,7.15492443952149,7.7339935460916,6.59173666916022,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1633",0,0,0,0,0,0,0,0,0,0,0,0,8.58048750692541,5.46243857937607,6.2814061613975,5.57838972883902,2.97970089726009,5.25684800352908,6.15822095815866,3.32619659394763,5.8710525039813,3.07687072570735,6.78789716142322,5.33993285133685,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_168",0,0,0,0,0,0,0,0,0,0,0,0,10.7934782487515,9.80506855872251,10.5458349284385,10.4760773083528,12.9629192141372,11.6974979816452,12.9809347751921,10.0680318759374,8.88107260325326,7.00077353238393,8.41763782042052,7.85686445969473,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1711",0,0,0,0,0,0,0,0,0,0,0,0,4.1250628694143,4.45062505396795,3.17210440507819,2.387096303895,2.53939689386456,3.41913825022609,6.58730215666198,3.47989982546415,3.60864853518667,2.70962209995061,5.00496932261747,2.56181211227363,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1728",0,0,0,0,0,0,0,0,0,0,0,0,17.947141919843,19.1812195815974,19.4180300456414,14.7179476976024,16.7595957689947,15.4189617532388,30.4726294176871,25.1112187813325,20.4565439660678,14.2181619631176,17.7374731670988,13.5601363792875,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1729",0,0,0,0,0,0,0,0,0,0,0,0,7.05453532410417,5.50676464079694,8.54869735285234,5.48239405787071,3.28325817988717,5.63008044818824,6.23355590594773,5.2326079989129,5.75125926107478,3.74249021267112,6.64624256347661,5.44869496217282,0,0,0,0,0,0,0,0,0,0,0,0
